sub_x,type,valid,within_trial_TR_x,cor
52,across,invalid-invalid,1,360
52,across,invalid-invalid,2,360
52,across,invalid-invalid,3,360
52,across,invalid-invalid,4,360
52,across,invalid-invalid,5,360
52,across,invalid-invalid,6,360
52,across,invalid-invalid,7,360
52,across,invalid-invalid,8,360
52,across,invalid-invalid,9,360
52,across,invalid-invalid,10,360
52,across,invalid-invalid,11,360
52,across,invalid-invalid,12,360
52,across,invalid-invalid,13,360
52,across,invalid-invalid,14,360
52,across,invalid-invalid,15,360
52,across,invalid-invalid,16,360
52,across,invalid-invalid,17,360
52,across,invalid-invalid,18,360
52,across,invalid-invalid,19,360
52,across,invalid-invalid,20,360
52,across,invalid-invalid,21,360
52,across,invalid-invalid,22,360
52,across,invalid-invalid,23,360
52,across,invalid-invalid,24,360
52,across,valid-invalid,1,1440
52,across,valid-invalid,2,1440
52,across,valid-invalid,3,1440
52,across,valid-invalid,4,1440
52,across,valid-invalid,5,1440
52,across,valid-invalid,6,1440
52,across,valid-invalid,7,1440
52,across,valid-invalid,8,1440
52,across,valid-invalid,9,1440
52,across,valid-invalid,10,1440
52,across,valid-invalid,11,1440
52,across,valid-invalid,12,1440
52,across,valid-invalid,13,1440
52,across,valid-invalid,14,1440
52,across,valid-invalid,15,1440
52,across,valid-invalid,16,1440
52,across,valid-invalid,17,1440
52,across,valid-invalid,18,1440
52,across,valid-invalid,19,1440
52,across,valid-invalid,20,1440
52,across,valid-invalid,21,1440
52,across,valid-invalid,22,1440
52,across,valid-invalid,23,1440
52,across,valid-invalid,24,1440
52,across,valid-valid,1,1440
52,across,valid-valid,2,1440
52,across,valid-valid,3,1440
52,across,valid-valid,4,1440
52,across,valid-valid,5,1440
52,across,valid-valid,6,1440
52,across,valid-valid,7,1440
52,across,valid-valid,8,1440
52,across,valid-valid,9,1440
52,across,valid-valid,10,1440
52,across,valid-valid,11,1440
52,across,valid-valid,12,1440
52,across,valid-valid,13,1440
52,across,valid-valid,14,1440
52,across,valid-valid,15,1440
52,across,valid-valid,16,1440
52,across,valid-valid,17,1440
52,across,valid-valid,18,1440
52,across,valid-valid,19,1440
52,across,valid-valid,20,1440
52,across,valid-valid,21,1440
52,across,valid-valid,22,1440
52,across,valid-valid,23,1440
52,across,valid-valid,24,1440
52,same,invalid-invalid,1,180
52,same,invalid-invalid,2,180
52,same,invalid-invalid,3,180
52,same,invalid-invalid,4,180
52,same,invalid-invalid,5,180
52,same,invalid-invalid,6,180
52,same,invalid-invalid,7,180
52,same,invalid-invalid,8,180
52,same,invalid-invalid,9,180
52,same,invalid-invalid,10,180
52,same,invalid-invalid,11,180
52,same,invalid-invalid,12,180
52,same,invalid-invalid,13,180
52,same,invalid-invalid,14,180
52,same,invalid-invalid,15,180
52,same,invalid-invalid,16,180
52,same,invalid-invalid,17,180
52,same,invalid-invalid,18,180
52,same,invalid-invalid,19,180
52,same,invalid-invalid,20,180
52,same,invalid-invalid,21,180
52,same,invalid-invalid,22,180
52,same,invalid-invalid,23,180
52,same,invalid-invalid,24,180
52,same,valid-invalid,1,720
52,same,valid-invalid,2,720
52,same,valid-invalid,3,720
52,same,valid-invalid,4,720
52,same,valid-invalid,5,720
52,same,valid-invalid,6,720
52,same,valid-invalid,7,720
52,same,valid-invalid,8,720
52,same,valid-invalid,9,720
52,same,valid-invalid,10,720
52,same,valid-invalid,11,720
52,same,valid-invalid,12,720
52,same,valid-invalid,13,720
52,same,valid-invalid,14,720
52,same,valid-invalid,15,720
52,same,valid-invalid,16,720
52,same,valid-invalid,17,720
52,same,valid-invalid,18,720
52,same,valid-invalid,19,720
52,same,valid-invalid,20,720
52,same,valid-invalid,21,720
52,same,valid-invalid,22,720
52,same,valid-invalid,23,720
52,same,valid-invalid,24,720
52,same,valid-valid,1,720
52,same,valid-valid,2,720
52,same,valid-valid,3,720
52,same,valid-valid,4,720
52,same,valid-valid,5,720
52,same,valid-valid,6,720
52,same,valid-valid,7,720
52,same,valid-valid,8,720
52,same,valid-valid,9,720
52,same,valid-valid,10,720
52,same,valid-valid,11,720
52,same,valid-valid,12,720
52,same,valid-valid,13,720
52,same,valid-valid,14,720
52,same,valid-valid,15,720
52,same,valid-valid,16,720
52,same,valid-valid,17,720
52,same,valid-valid,18,720
52,same,valid-valid,19,720
52,same,valid-valid,20,720
52,same,valid-valid,21,720
52,same,valid-valid,22,720
52,same,valid-valid,23,720
52,same,valid-valid,24,720
52,within,invalid-invalid,1,180
52,within,invalid-invalid,2,180
52,within,invalid-invalid,3,180
52,within,invalid-invalid,4,180
52,within,invalid-invalid,5,180
52,within,invalid-invalid,6,180
52,within,invalid-invalid,7,180
52,within,invalid-invalid,8,180
52,within,invalid-invalid,9,180
52,within,invalid-invalid,10,180
52,within,invalid-invalid,11,180
